date,median,n_available,p10,p25,p75,p90,variable
2019-11-01,190594.38511978183,196,124801.81160237943,155881.0480320499,244052.27532030313,332071.75899392733,ZHVI all-homes SA
2019-12-01,191816.7663450833,196,125423.74365202841,156553.7259333182,246090.3857568433,333916.97809655964,ZHVI all-homes SA
2020-01-01,192756.49327952624,196,125893.00410780967,157472.24218995037,247624.82458291049,335638.3906605587,ZHVI all-homes SA
2020-02-01,193290.774608099,196,126668.24248864461,159157.95687152358,248630.56362517746,336839.4948546821,ZHVI all-homes SA
2020-03-01,193730.67411677062,196,127437.35155225047,160644.5941708426,249606.87750677826,338380.58029251534,ZHVI all-homes SA
2020-04-01,194052.21950469812,196,128120.85480748402,161580.31430162376,250851.91998918846,340807.72987848625,ZHVI all-homes SA
2020-05-01,194193.0131374047,196,128736.56374774501,162234.46644616855,251397.20392015678,342247.12470425165,ZHVI all-homes SA
2020-06-01,194275.88782057317,196,128541.15855174726,162106.1969199288,251597.43432246096,343225.3914826398,ZHVI all-homes SA
2020-07-01,195086.71344040433,196,128808.66434065311,162194.33889657893,252387.73759140563,344578.4845822329,ZHVI all-homes SA
2020-08-01,196639.32248292887,196,129567.93458336804,163382.2480453683,254633.20972058945,347294.91196183546,ZHVI all-homes SA
2020-09-01,198981.09843536638,196,131119.02599336125,165550.04871261807,257770.0611983652,352118.2606782677,ZHVI all-homes SA
2020-10-01,201422.7883320924,196,133656.30188279535,167795.09991896304,260788.66889514224,357642.26015547424,ZHVI all-homes SA
2020-11-01,202969.91282584233,196,135805.81493205274,169713.1911177494,263772.48082605324,363848.30701085296,ZHVI all-homes SA
2020-12-01,204903.77335001662,196,137839.90798805552,171593.76768821751,268212.62287037325,370271.7706769967,ZHVI all-homes SA
2021-01-01,207313.25286738866,196,139495.06935279793,172988.36952571684,272452.37806367903,376564.9384210074,ZHVI all-homes SA
2021-02-01,209645.8460919316,196,141061.75357380373,173869.98861995782,276203.5167444076,382637.9253009034,ZHVI all-homes SA
2021-03-01,211387.07366402764,196,142684.47121206787,175139.08320686992,280267.8498944514,388202.3938548792,ZHVI all-homes SA
2021-04-01,213069.3549183192,196,144449.6116511137,176933.99107938883,284584.3006965624,395646.05031189823,ZHVI all-homes SA
2021-05-01,215341.60230084602,196,146425.19702763963,178767.12211304248,288154.6045496423,402990.9890610194,ZHVI all-homes SA
